Lambda,dt=0.5,dt=1,dt=2,dt=2.5,dt=3.3333,dt=4
0.0,$5.1 \times 10^{-1}$,$1.2 \times 10^{0}$,$3.1 \times 10^{0}$,$3.1 \times 10^{0}$,$8.6 \times 10^{0}$,$1.6 \times 10^{1}$
0.25,$6.3 \times 10^{-1}$,$9.6 \times 10^{-1}$,$2.5 \times 10^{0}$,$3.6 \times 10^{0}$,$8.9 \times 10^{0}$,$1.4 \times 10^{1}$
0.5,$-4.1 \times 10^{-2}$,$1.0 \times 10^{0}$,$1.8 \times 10^{0}$,$7.9 \times 10^{0}$,$1.4 \times 10^{1}$,$1.9 \times 10^{1}$
0.75,$-5.9 \times 10^{-1}$,$3.5 \times 10^{-2}$,$3.4 \times 10^{0}$,$3.6 \times 10^{0}$,$1.0 \times 10^{1}$,$1.6 \times 10^{1}$
1.0,$-9.2 \times 10^{-2}$,$1.1 \times 10^{0}$,$4.3 \times 10^{0}$,$4.0 \times 10^{0}$,$1.0 \times 10^{1}$,$1.2 \times 10^{1}$
