Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
1.00000000,0.0005,Etot_1,0.9754809352162774,-8.537010308894406,0.6263344634869707,0.0,0.019700690648393544,0.3922948601515115,8.542312201772173,0.0,20.0,1.001,39.857
1.00000000,0.001,Etot_1,21.34909549980177,-125.11157347308992,0.7630266775588743,0.0,0.29345495574873875,0.5822097106665344,153.46265957675325,0.0,20.0,1.001,39.011
1.00000000,0.002,Etot_1,4.077669076728068,-0.4612767230822499,0.9909474496058155,0.0,0.008963946325040967,0.9819768478802702,22.56962360220863,0.0,20.0,1.001,25.935
1.00000000,0.0025,Etot_1,4.137197922881472,-0.3267282617921907,0.9883298205708513,0.0,0.010346891573410528,0.9767958342296111,22.95976092130482,0.0,20.0,1.001,21.925
1.00000000,0.00333333,Etot_1,10.440583095684927,-13.36659731292987,0.9970725567788143,0.0,0.012991571062065065,0.994153683481442,57.43287001654441,0.0,20.0,1.001,26.690974
1.00000000,0.004,Etot_1,12.659410958219157,-14.114693971179634,0.9969441903078032,0.0,0.016095752566459346,0.9938977185884814,69.6475132245452,0.0,20.0,1.001,23.303
