Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.00000000,0.0005,Etot_1,0.5061607628685483,-1.2186317879660462,0.6514778138901879,6.208852192197575e-218,0.013900985442351518,0.4244233419911383,2.0185553615981524,0.0,10.0,1.001,31.762
0.00000000,0.001,Etot_1,1.2190175698408137,-3.3462821633252697,0.8758080753011414,0.0,0.01584335143234962,0.7670397847626896,3.6162033098245114,0.0,10.0,1.001,32.688
0.00000000,0.002,Etot_1,3.145810109056618,-5.605703273536701,0.9620513634313068,0.0,0.021042274186515268,0.9255428258800363,8.495443652145955,0.0,10.0,1.001,40.593
0.00000000,0.0025,Etot_1,3.1446500288220256,-2.5573932390334644,0.9624658392679656,0.0,0.020912529144124576,0.9263404917577893,8.488653663094366,0.0,10.0,1.001,51.687
0.00000000,0.00333333,Etot_1,8.604178584325576,-13.713048782666107,0.9872802980949592,0.0,0.032676996522124115,0.9747223870064715,22.642288921658896,0.0,10.0,1.001,47.021954
0.00000000,0.004,Etot_1,15.562924038227584,-13.911996490861029,0.9963757347975986,0.0,0.03133317017933153,0.9927646048934544,40.58073181726789,0.0,10.0,1.001,61.652
