Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.50000000,0.0005,Etot_1,-0.0408232054598371,-1.0055472158901966,-0.035370722890128756,0.13359378362268629,0.02720172732438992,0.0012510880377702783,2.9985754868026304,0.0,10.0,1.001,40.834
0.50000000,0.001,Etot_1,1.019487493566099,-1.717053927817639,0.652402595952115,9.410342445874889e-219,0.027929783858038536,0.4256291472050587,4.059925286149105,0.0,10.0,1.001,101.0
0.50000000,0.002,Etot_1,1.8215943191752018,1.7008074137929317,0.7920675231740972,0.0,0.033108001114480944,0.6273709612671491,5.975046316852108,0.0,10.0,1.001,101.0
0.50000000,0.0025,Etot_1,7.924009284632494,-6.990985218218434,0.9858109703435548,0.0,0.031820118031055125,0.9718232692497011,20.883493350391156,0.0,10.0,1.001,101.0
0.50000000,0.00333333,Etot_1,14.222409741516694,-13.213994073996815,0.9881434412576665,0.0,0.05211485530558127,0.9764274605005434,37.39422840192339,0.0,10.0,1.001,100.9999
0.50000000,0.004,Etot_1,18.71639147403029,-25.08086551995555,0.9876209064947876,0.0,0.07010487216227472,0.975395054945586,49.236102260663834,0.0,10.0,1.001,101.0
