Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.25000000,0.0005,Etot_1,0.3382385514569634,0.5174589359501227,0.5300164725450783,2.5726796327962736e-274,0.008781033412577943,0.28091746116912775,3.5002309547606627,0.0,20.0,1.001,101.0
0.25000000,0.001,Etot_1,0.776375291252116,3.66173953110545,0.8147191166462222,0.0,0.008966156843303109,0.6637672390288006,5.226690227116769,0.0,20.0,1.001,101.0
0.25000000,0.002,Etot_1,2.2597586134138123,4.084115039180354,0.9660717189653351,0.0,0.00980292789156984,0.9332945661846374,12.829674695174065,0.0,20.0,1.001,101.0
0.25000000,0.0025,Etot_1,4.715138720840633,-7.219699623903281,0.9868586102473069,0.0,0.012527551271327406,0.9738899166192461,26.20610655724616,0.0,20.0,1.001,101.0
0.25000000,0.00333333,Etot_1,9.158012681290694,-14.231161317620419,0.9922646451867141,0.0,0.018591305028746667,0.9845891260875156,50.62164466823728,0.0,20.0,1.001,100.9999
0.25000000,0.004,Etot_1,13.956720511720695,-3.944475397562883,0.9980615498787955,0.0,0.014121483508177086,0.9961268573464633,76.69887957401602,0.0,20.0,1.001,101.0
