Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
1.00000000,0.0005,Etot_1,1.2605821990489054,-11.686642878195599,0.9858088249585439,0.0,0.0015179696311250323,0.9718190393661451,36.91372265192475,1.001,101.0,1.001,101.0
1.00000000,0.001,Etot_1,1.0970565559848413,-6.712424810392925,0.9910599176026496,0.0,0.0010443564390410836,0.9821997602785705,31.954974965313145,1.001,101.0,1.001,101.0
1.00000000,0.002,Etot_1,1.577740300980522,-20.266038549555148,0.9852587626189827,0.0,0.001937168782131826,0.9707348293174889,46.22688073955526,1.001,101.0,1.001,101.0
1.00000000,0.0025,Etot_1,1.9746430128157082,-5.698584029081886,0.9956640757465983,0.0,0.0013045689454934477,0.9913469517323279,57.25127085270283,1.001,101.0,1.001,101.0
1.00000000,0.00333333,Etot_1,3.0061300466406187,-14.016156600025624,0.9945707500355898,0.0,0.0022241979766007224,0.9891709768263557,87.25313173776766,1.001,100.9999,1.001,100.9999
1.00000000,0.004,Etot_1,3.6008692721895588,-19.105470432759233,0.9917798640515489,0.0,0.003285178372183751,0.983627298738109,104.80969196751784,1.001,101.0,1.001,101.0
