Lambda,dt=0.5,dt=1,dt=2,dt=2.5,dt=3.3333,dt=4
0.0,$-3.7 \times 10^{2}$,$5.9 \times 10^{0}$,$-7.1 \times 10^{2}$,$-8.7 \times 10^{2}$,$-9.6 \times 10^{2}$,$-9.2 \times 10^{2}$
0.25,$5.4 \times 10^{-1}$,$6.5 \times 10^{-1}$,$9.5 \times 10^{-1}$,$9.8 \times 10^{-1}$,$1.4 \times 10^{0}$,$1.9 \times 10^{0}$
0.5,$5.3 \times 10^{-1}$,$5.6 \times 10^{-1}$,$8.7 \times 10^{-1}$,$1.3 \times 10^{0}$,$2.3 \times 10^{0}$,$3.2 \times 10^{0}$
0.75,$5.6 \times 10^{-1}$,$6.1 \times 10^{-1}$,$9.1 \times 10^{-1}$,$9.2 \times 10^{-1}$,$1.3 \times 10^{0}$,$1.7 \times 10^{0}$
1.0,$1.7 \times 10^{0}$,$2.7 \times 10^{0}$,$-6.2 \times 10^{2}$,$-8.5 \times 10^{2}$,$-9.8 \times 10^{2}$,$-8.5 \times 10^{2}$
