Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
1.00000000,0.0005,EKtot_1,1.3984548827944485,-42.91595698019269,0.7225679021444004,0.0,0.00946113066233977,0.5221043732093598,55.87006422687168,1.001,101.0,1.001,101.0
1.00000000,0.001,EKtot_1,2.7585878027822512,-53.378453440190654,0.9196112858438613,0.0,0.008332847338799942,0.8456849170514,86.5948163667452,1.001,101.0,1.001,101.0
1.00000000,0.002,EKtot_1,2.919281720756159,-73.74129064316111,0.7341328597592205,0.0,0.022442982777671476,0.5389510557782513,83.08627699152316,1.001,73.379,1.001,73.379
1.00000000,0.0025,EKtot_1,0.8315918099265683,19.563934153505855,0.43764229262619464,0.0,0.015733629888936243,0.19153077629511178,32.346807365637574,1.001,59.968,1.001,59.968
1.00000000,0.00333333,EKtot_1,0.7849775637718083,-64.7600633974908,0.2922732760594693,9.243956072361557e-151,0.029347001259045765,0.08542366789853474,29.70224167261782,1.001,39.305962,1.001,39.305962
1.00000000,0.004,EKtot_1,1.6448566801420161,-22.48800362165192,0.6828555990876559,0.0,0.016226655405141274,0.4662917692053615,40.8974909457652,1.001,59.812,1.001,59.812
