Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.25000000,0.0005,EPtot_1,0.5362591030418029,-8.696976451477386,0.4651718891583013,0.0,0.007216379020554593,0.21638488646310297,33.27902484281441,1.001,101.0,1.001,101.0
0.25000000,0.001,EPtot_1,0.6476518413265346,20.69993870510872,0.5371683172285187,0.0,0.007191346015442691,0.2885498010341184,34.80491611948119,1.001,101.0,1.001,101.0
0.25000000,0.002,EPtot_1,0.9471644224164266,31.33050695839586,0.679494712457368,0.0,0.007231908668534097,0.4617130642575213,40.23913825523063,1.001,101.0,1.001,101.0
0.25000000,0.0025,EPtot_1,0.9810489588570319,-5.229784238270341,0.6925261951786569,0.0,0.007226582320271869,0.47959253100862714,40.89440108689158,1.001,101.0,1.001,101.0
0.25000000,0.00333333,EPtot_1,1.356225690725013,-43.205813152986806,0.7953314880220704,0.0,0.007309511402309067,0.6325521758394007,49.225794228384856,1.001,100.9999,1.001,100.9999
0.25000000,0.004,EPtot_1,1.936739341420499,-16.492413083433306,0.8809038906630252,0.0,0.0073583671573618815,0.775991664585255,63.46759224096128,1.001,101.0,1.001,101.0
