Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.25000000,0.0005,EKtot_1,0.3014409726206874,9.19287760280387,0.28625269438731354,0.0,0.007135013625617386,0.08194060504399672,30.399194467373235,1.001,101.0,1.001,101.0
0.25000000,0.001,EKtot_1,0.336430394253656,-18.041152051345076,0.3163711902365953,0.0,0.007133528108785799,0.10009073001171999,30.697829707228273,1.001,101.0,1.001,101.0
0.25000000,0.002,EKtot_1,0.5237341053703353,-33.27092422272904,0.46068003199573965,0.0,0.007135410806629626,0.2122260918795957,32.8186599527039,1.001,101.0,1.001,101.0
0.25000000,0.0025,EKtot_1,0.529558902551202,2.589235323242523,0.4671334274448269,0.0,0.007088006224228971,0.21821363903635135,32.7252297303895,1.001,101.0,1.001,101.0
0.25000000,0.00333333,EKtot_1,0.7523448261400627,42.461571863102236,0.5978194772727708,0.0,0.007133915628958799,0.35738812740668896,36.32919881369984,1.001,100.9999,1.001,100.9999
0.25000000,0.004,EKtot_1,1.074089977340235,9.080481370614024,0.7298627251570269,0.0,0.00711384298331292,0.5326995975736417,42.48238164530791,1.001,101.0,1.001,101.0
