Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.75000000,0.0005,EPtot_1,0.5581642540622157,-37.01381097579191,0.48610396831498537,0.0,0.007095807096742129,0.2362970680115763,33.146847478851605,1.001,101.0,1.001,101.0
0.75000000,0.001,EPtot_1,0.6069572348640081,-2.310106927212118,0.5145183716844551,0.0,0.007152989653383553,0.2647291548008231,34.05387851847218,1.001,101.0,1.001,101.0
0.75000000,0.002,EPtot_1,0.906846274034806,5.77336726363594,0.6651392830443292,0.0,0.007199215562453413,0.44241026584872434,39.3577670962979,1.001,101.0,1.001,101.0
0.75000000,0.0025,EPtot_1,0.9240374838562839,-19.40451248044469,0.6743648840528361,0.0,0.007154709899456066,0.4547679968435951,39.55523945528163,1.001,101.0,1.001,101.0
0.75000000,0.00333333,EPtot_1,1.3260902701911386,-5.775808605531452,0.7928342049560223,0.0,0.007208194856428773,0.6285860765482479,48.28360096824605,1.001,100.9999,1.001,100.9999
0.75000000,0.004,EPtot_1,1.7244587463073626,-44.488939708556025,0.8572420726965208,0.0,0.007324709804709918,0.734863971201027,58.070920213391304,1.001,101.0,1.001,101.0
