Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
1.00000000,0.0005,Etot_1,3.133292379945382,-71.92391322864457,0.849908603116035,0.0,0.0137368909605486,0.7223446336506499,106.42363132445149,1.001,101.0,1.001,101.0
1.00000000,0.001,Etot_1,5.469462620530172,-61.20161014810799,0.9786181585862116,0.0,0.008129084798307271,0.9576935003146676,161.33952168333101,1.001,101.0,1.001,101.0
1.00000000,0.002,Etot_1,5.987202388912393,-106.17805213843828,0.8263238576474858,0.0,0.03391863303733155,0.6828111177174224,151.3915383059002,1.001,73.379,1.001,73.379
1.00000000,0.0025,Etot_1,1.905015854796321,3.2209068891462636,0.9698279192344962,0.0,0.004409881829993528,0.9405661929267124,33.43831736335731,1.001,59.968,1.001,59.968
1.00000000,0.00333333,Etot_1,2.0869802455077746,-13.406468434949073,0.9424815797017791,0.0,0.008456935378496911,0.888271528077161,24.48874665858373,1.001,39.305962,1.001,39.305962
1.00000000,0.004,Etot_1,3.5861794367501663,-18.585939122064957,0.9802845324311741,0.0,0.00666538253386923,0.9609577645238055,62.11226156822622,1.001,59.812,1.001,59.812
