Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.00000000,0.0005,EPtot_1,-367.2341997951401,11503.014729208975,-0.5282082210920693,0.0,4.335720333059998,0.2790039248292484,18954.244224759273,1.001,101.0,1.001,101.0
0.00000000,0.001,EPtot_1,5.916060599308803,-51.85590386384999,0.9530351720439149,0.0,0.013294493723470227,0.9082760391527744,179.1979601318502,1.001,101.0,1.001,101.0
0.00000000,0.002,EPtot_1,-707.4272611338001,18862.866409122566,-0.7358940567916059,0.0,4.997061120481834,0.5415400628212073,25631.93310702465,1.001,101.0,1.001,101.0
0.00000000,0.0025,EPtot_1,-872.6356692839992,18832.856161418313,-0.8738459134629353,0.0,4.129363654973826,0.7636066804758718,28441.679426924038,1.001,100.999,1.001,100.999
0.00000000,0.00333333,EPtot_1,-961.8777914763538,16612.026583217845,-0.8555425373938772,0.0,4.812562898711095,0.7319530332903538,30875.992177386037,1.001,100.9999,1.001,100.9999
0.00000000,0.004,EPtot_1,-919.53520391155,4877.562465552743,-0.8337407414350712,0.0,5.38199574985455,0.6951236239287022,31876.60092051328,1.001,101.0,1.001,101.0
