Lambda,dt=0.5,dt=1,dt=2,dt=2.5,dt=3.3333,dt=4
0.0,$5.9 \times 10^{-1}$,$4.3 \times 10^{-1}$,$6.9 \times 10^{-1}$,$7.7 \times 10^{-1}$,$1.2 \times 10^{0}$,$1.4 \times 10^{0}$
0.25,$4.7 \times 10^{-1}$,$4.6 \times 10^{-1}$,$6.6 \times 10^{-1}$,$7.0 \times 10^{-1}$,$1.1 \times 10^{0}$,$1.3 \times 10^{0}$
0.5,$4.7 \times 10^{-1}$,$4.0 \times 10^{-1}$,$6.3 \times 10^{-1}$,$7.1 \times 10^{-1}$,$1.0 \times 10^{0}$,$1.2 \times 10^{0}$
0.75,$3.3 \times 10^{-1}$,$3.7 \times 10^{-1}$,$4.9 \times 10^{-1}$,$6.7 \times 10^{-1}$,$8.3 \times 10^{-1}$,$1.1 \times 10^{0}$
1.0,$3.6 \times 10^{-1}$,$3.8 \times 10^{-1}$,$5.1 \times 10^{-1}$,$5.8 \times 10^{-1}$,$8.1 \times 10^{-1}$,$9.5 \times 10^{-1}$
