Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.25000000,0.0005,EKtot_1,0.47268602679013505,-47.495644417256706,0.420238322857535,0.0,0.007217539901798621,0.1766002479981138,32.470313822478744,1.001,101.0,1.001,101.0
0.25000000,0.001,EKtot_1,0.45750784442968956,10.263332875852477,0.4075633996096287,0.0,0.007248781516679331,0.16610792470135788,32.40505367516667,1.001,101.0,1.001,101.0
0.25000000,0.002,EKtot_1,0.6575578764515099,17.450090002787675,0.5431545439197912,0.0,0.007187976539224983,0.2950168585807164,34.94780820231421,1.001,101.0,1.001,101.0
0.25000000,0.0025,EKtot_1,0.7017169194309724,-25.520141585600445,0.5620808359825888,0.0,0.00730160971622093,0.31593486617888594,36.038984598517494,1.001,101.0,1.001,101.0
0.25000000,0.00333333,EKtot_1,1.090375606288546,11.1579716567853,0.7301214365087088,0.0,0.007216227789853163,0.5330773120495405,43.111185884737885,1.001,100.9999,1.001,100.9999
0.25000000,0.004,EKtot_1,1.3010337416558393,18.026322011164666,0.7878511208665252,0.0,0.0071917928065754165,0.6207093886506401,47.67094696804409,1.001,101.0,1.001,101.0
