Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.50000000,0.0005,EKtot_1,0.4732841110923554,22.003139005456514,0.42710606116344146,0.0,0.007085298427900924,0.1824195874825494,31.988624541693774,1.001,101.0,1.001,101.0
0.50000000,0.001,EKtot_1,0.39894041263302105,0.791287156334878,0.3709022516324097,0.0,0.007063461640264731,0.13756848026599136,31.049737946138986,1.001,101.0,1.001,101.0
0.50000000,0.002,EKtot_1,0.6274893270904734,-30.923562447623514,0.5312362540573147,0.0,0.007076580725734221,0.2822119576248478,34.0979299407307,1.001,101.0,1.001,101.0
0.50000000,0.0025,EKtot_1,0.7128123714553661,-30.33676166066649,0.5779920567251817,0.0,0.007116603924207072,0.3340748176374057,35.60104410074086,1.001,101.0,1.001,101.0
0.50000000,0.00333333,EKtot_1,1.0325353940253015,-37.07994174486954,0.7158588015364368,0.0,0.00712183936747538,0.5124538237371836,41.63767976300967,1.001,100.9999,1.001,100.9999
0.50000000,0.004,EKtot_1,1.2168486754024361,-11.578047027511133,0.7706202906227871,0.0,0.0071161168242090045,0.593855632319549,45.58327349911051,1.001,101.0,1.001,101.0
