Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
1.00000000,0.0005,Etot_1,0.9718770066548625,-2.4671675338880092,0.9991358966003161,0.0,0.0002858890217359914,0.9982725398753175,28.079936504096175,1.001,101.0,1.001,101.0
1.00000000,0.001,Etot_1,1.0615322342006113,-5.5401569158798765,0.9962718866728986,0.0,0.0006500045955492446,0.9925576721747769,30.758467071163903,1.001,101.0,1.001,101.0
1.00000000,0.002,Etot_1,1.4810847626983275,-9.875959035470657,0.9948076384079189,0.0,0.0010714711856738667,0.9896422374347407,42.978393628749814,1.001,101.0,1.001,101.0
1.00000000,0.0025,Etot_1,1.6672586404511325,-4.948822010047081,0.9956868259361695,0.0,0.0010985798311805713,0.9913922553428439,48.33810183060804,1.001,101.0,1.001,101.0
1.00000000,0.00333333,Etot_1,2.2883665214614104,-3.5957333762636097,0.9985012154520482,0.0,0.0008869630285619127,0.9970046772592175,66.1585426034014,1.001,100.9999,1.001,100.9999
1.00000000,0.004,Etot_1,2.724094148021306,-5.0127796478645905,0.9975902550272165,0.0,0.0013397241311156813,0.9951863169252669,78.82777922931572,1.001,101.0,1.001,101.0
