Lambda,dt=0.5,dt=1,dt=2,dt=2.5,dt=3.3333,dt=4
0.0,$8.0 \times 10^{-1}$,$7.8 \times 10^{-1}$,$1.3 \times 10^{0}$,$1.4 \times 10^{0}$,$2.1 \times 10^{0}$,$2.5 \times 10^{0}$
0.25,$6.5 \times 10^{-1}$,$7.8 \times 10^{-1}$,$1.2 \times 10^{0}$,$1.3 \times 10^{0}$,$1.9 \times 10^{0}$,$2.3 \times 10^{0}$
0.5,$6.6 \times 10^{-1}$,$7.3 \times 10^{-1}$,$1.1 \times 10^{0}$,$1.3 \times 10^{0}$,$1.9 \times 10^{0}$,$2.2 \times 10^{0}$
0.75,$5.6 \times 10^{-1}$,$6.4 \times 10^{-1}$,$9.1 \times 10^{-1}$,$1.2 \times 10^{0}$,$1.5 \times 10^{0}$,$2.0 \times 10^{0}$
1.0,$6.1 \times 10^{-1}$,$6.8 \times 10^{-1}$,$9.7 \times 10^{-1}$,$1.1 \times 10^{0}$,$1.5 \times 10^{0}$,$1.8 \times 10^{0}$
