Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.75000000,0.0005,EPtot_1,0.5639229829221928,2.670888120442555,0.4928573137555507,0.0,0.007040111549936992,0.24290833172233733,33.029953751163255,1.001,101.0,1.001,101.0
0.75000000,0.001,EPtot_1,0.6399756669898445,-23.586758647981583,0.5406178587125876,0.0,0.007042296553487588,0.29226766915898333,34.1729483400186,1.001,101.0,1.001,101.0
0.75000000,0.002,EPtot_1,0.9115267750297671,22.326338273644417,0.6755578403389025,0.0,0.007034965360698819,0.45637839564336213,38.95078976621291,1.001,101.0,1.001,101.0
0.75000000,0.0025,EPtot_1,1.2358130484702425,-53.92928179240966,0.7699979066313806,0.0,0.007241394714880802,0.5928967762167082,46.331099679992,1.001,101.0,1.001,101.0
0.75000000,0.00333333,EPtot_1,1.533843712943027,-36.829581053934845,0.8334144194368438,0.0,0.007192433298887429,0.6945795945252514,53.12868202442721,1.001,100.9999,1.001,100.9999
0.75000000,0.004,EPtot_1,2.031266770412213,3.856597494132771,0.8911281191008696,0.0,0.007313948081673698,0.7941093246522537,65.80156040922455,1.001,101.0,1.001,101.0
