Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
1.00000000,0.0005,Etot_1,0.8066731215738056,-3.822447635263651,0.49591623418836406,4.1489679299005504e-235,0.022920114029894568,0.24593291133156833,8.921794667565203,0.0,20.0,1.001,101.0
1.00000000,0.001,Etot_1,0.9550844718836748,-10.498593196491813,0.5737786491612364,0.0,0.022121233778815568,0.32922193823329327,9.129781070118945,0.0,20.0,1.001,101.0
1.00000000,0.002,Etot_1,1.395367969187168,-7.79909486135359,0.7024356097535509,0.0,0.022941963032894686,0.49341578584984286,10.895450513469013,0.0,20.0,1.001,73.379
1.00000000,0.0025,Etot_1,1.8541343623573154,4.685482370475935,0.7925997875769639,0.0,0.02314493895298129,0.6282144232670483,12.830695961391765,0.0,20.0,1.001,59.968
1.00000000,0.00333333,Etot_1,1.807749392955323,-10.184988828322227,0.7831439504808423,0.0,0.023291535470471813,0.6133144471747399,12.660741883835813,0.0,20.0,1.001,39.305962
1.00000000,0.004,Etot_1,2.431765251005029,-2.2919224087289294,0.8600074081277315,0.0,0.023412718307729292,0.7396127420345785,15.508950822646666,0.0,20.0,1.001,59.812
