Lambda,dt=0.5,dt=1,dt=2,dt=2.5,dt=3.3333,dt=4
0.0,$9.1 \times 10^{-1}$,$9.3 \times 10^{-1}$,$1.7 \times 10^{0}$,$2.2 \times 10^{0}$,$2.0 \times 10^{0}$,$3.0 \times 10^{0}$
0.25,$9.0 \times 10^{-1}$,$8.6 \times 10^{-1}$,$1.6 \times 10^{0}$,$1.6 \times 10^{0}$,$2.3 \times 10^{0}$,$2.1 \times 10^{0}$
0.5,$8.4 \times 10^{-1}$,$6.5 \times 10^{-1}$,$1.1 \times 10^{0}$,$1.0 \times 10^{0}$,$3.1 \times 10^{0}$,$4.9 \times 10^{0}$
0.75,$7.1 \times 10^{-1}$,$8.9 \times 10^{-1}$,$1.3 \times 10^{0}$,$1.7 \times 10^{0}$,$1.9 \times 10^{0}$,$2.0 \times 10^{0}$
1.0,$8.1 \times 10^{-1}$,$9.6 \times 10^{-1}$,$1.4 \times 10^{0}$,$1.9 \times 10^{0}$,$1.8 \times 10^{0}$,$2.4 \times 10^{0}$
