#Time	Etot_1
1.00100000	0.00000000
1.00300000	-2.72390000
1.00500000	-2.54610000
1.00700000	-3.78620000
1.00900000	-3.79580000
1.01100000	-5.11600000
1.01300000	-6.45580000
1.01500000	-6.54990000
1.01700000	-4.39460000
1.01900000	-6.92180000
1.02100000	-8.26430000
1.02300000	-8.09360000
1.02500000	-7.86150000
1.02700000	-6.52790000
1.02900000	-9.69240000
1.03100000	-10.26350000
1.03300000	-9.95790000
1.03500000	-10.16760000
1.03700000	-11.23510000
1.03900000	-10.00070000
1.04100000	-13.19670000
1.04300000	-12.18810000
1.04500000	-12.18490000
1.04700000	-12.60560000
1.04900000	-11.90000000
1.05100000	-13.58530000
1.05300000	-14.64180000
1.05500000	-14.50770000
1.05700000	-13.42960000
1.05900000	-15.36350000
1.06100000	-15.06410000
1.06300000	-13.26720000
1.06500000	-15.51110000
1.06700000	-15.44240000
1.06900000	-17.17430000
1.07100000	-16.31950000
1.07300000	-17.20480000
1.07500000	-16.84380000
1.07700000	-17.98670000
1.07900000	-19.14860000
1.08100000	-18.03660000
1.08300000	-17.69480000
1.08500000	-17.28350000
1.08700000	-15.76640000
1.08900000	-18.49750000
1.09100000	-18.48540000
1.09300000	-19.85350000
1.09500000	-19.00000000
1.09700000	-17.94400000
1.09900000	-20.22680000
1.10100000	-19.84900000
1.10300000	-18.22110000
1.10500000	-20.22280000
1.10700000	-21.89370000
1.10900000	-19.76400000
1.11100000	-20.54520000
1.11300000	-19.25920000
1.11500000	-21.21420000
1.11700000	-19.86910000
1.11900000	-21.07390000
1.12100000	-22.36980000
1.12300000	-20.89840000
1.12500000	-21.48210000
1.12700000	-24.92360000
1.12900000	-19.74990000
1.13100000	-21.86580000
1.13300000	-22.11230000
1.13500000	-22.23870000
1.13700000	-22.73680000
1.13900000	-22.25630000
1.14100000	-23.31350000
1.14300000	-21.85710000
1.14500000	-24.06090000
1.14700000	-22.66560000
1.14900000	-20.26870000
1.15100000	-22.82540000
1.15300000	-22.18780000
1.15500000	-25.27920000
1.15700000	-23.49190000
1.15900000	-21.56460000
1.16100000	-22.86620000
1.16300000	-25.07880000
1.16500000	-24.64430000
1.16700000	-24.48340000
1.16900000	-23.21500000
1.17100000	-25.34620000
1.17300000	-24.25220000
1.17500000	-24.70640000
1.17700000	-21.82760000
1.17900000	-26.30300000
1.18100000	-26.14770000
1.18300000	-26.26750000
1.18500000	-24.16680000
1.18700000	-21.94020000
1.18900000	-22.24260000
1.19100000	-25.12800000
1.19300000	-23.06430000
1.19500000	-25.57060000
1.19700000	-25.33280000
1.19900000	-23.07280000
1.20100000	-24.12040000
1.20300000	-24.35860000
1.20500000	-28.60150000
1.20700000	-23.72320000
1.20900000	-26.32990000
1.21100000	-24.94940000
1.21300000	-25.12860000
1.21500000	-25.58600000
1.21700000	-24.38550000
1.21900000	-23.51470000
1.22100000	-26.23730000
1.22300000	-25.06870000
1.22500000	-25.35480000
1.22700000	-24.49640000
1.22900000	-26.12270000
1.23100000	-25.97640000
1.23300000	-26.23200000
1.23500000	-24.63760000
1.23700000	-25.82530000
1.23900000	-25.63890000
1.24100000	-28.13740000
1.24300000	-26.71410000
1.24500000	-24.47810000
1.24700000	-24.97690000
1.24900000	-25.07490000
1.25100000	-25.68400000
1.25300000	-26.21540000
1.25500000	-26.61980000
1.25700000	-26.53720000
1.25900000	-26.61250000
1.26100000	-25.89430000
1.26300000	-27.93400000
1.26500000	-22.51420000
1.26700000	-27.92780000
1.26900000	-27.03700000
1.27100000	-27.87040000
1.27300000	-28.25060000
1.27500000	-28.28230000
1.27700000	-26.07530000
1.27900000	-25.03590000
1.28100000	-25.42570000
1.28300000	-26.35880000
1.28500000	-26.86700000
1.28700000	-27.54910000
1.28900000	-26.84560000
1.29100000	-27.00730000
1.29300000	-25.05520000
1.29500000	-29.62340000
1.29700000	-25.17490000
1.29900000	-27.50350000
1.30100000	-27.90580000
1.30300000	-29.66760000
1.30500000	-25.86180000
1.30700000	-26.84430000
1.30900000	-25.91350000
1.31100000	-29.42560000
1.31300000	-28.59980000
1.31500000	-27.43290000
1.31700000	-29.43330000
1.31900000	-27.51710000
1.32100000	-24.84570000
1.32300000	-25.82470000
1.32500000	-26.10670000
1.32700000	-26.86140000
1.32900000	-27.64800000
