#Time	Etot_1
1.00100000	0.00000000
1.00300000	-8.91300000
1.00500000	-8.90720000
1.00700000	-16.25020000
1.00900000	-15.72740000
1.01100000	-17.64120000
1.01300000	-19.66510000
1.01500000	-21.42110000
1.01700000	-19.28030000
1.01900000	-23.76470000
1.02100000	-23.62180000
1.02300000	-25.38820000
1.02500000	-25.79340000
1.02700000	-28.82490000
1.02900000	-24.23900000
1.03100000	-33.23320000
1.03300000	-32.39050000
1.03500000	-31.48920000
1.03700000	-31.78590000
1.03900000	-32.24260000
1.04100000	-33.85750000
1.04300000	-36.21390000
1.04500000	-34.38460000
1.04700000	-37.82980000
1.04900000	-34.12210000
1.05100000	-34.64470000
1.05300000	-36.04040000
1.05500000	-29.88470000
1.05700000	-40.26960000
1.05900000	-40.10690000
1.06100000	-38.96990000
1.06300000	-39.05230000
1.06500000	-37.53440000
1.06700000	-40.63960000
1.06900000	-39.61680000
1.07100000	-39.83690000
1.07300000	-33.73010000
1.07500000	-41.37080000
1.07700000	-38.51670000
1.07900000	-34.20720000
1.08100000	-46.22440000
1.08300000	-40.18610000
1.08500000	-45.24200000
1.08700000	-42.36080000
1.08900000	-42.87370000
1.09100000	-44.06410000
1.09300000	-38.91560000
1.09500000	-39.53170000
1.09700000	-43.08160000
1.09900000	-46.43800000
1.10100000	-48.06340000
1.10300000	-45.08050000
1.10500000	-43.12760000
1.10700000	-43.28010000
1.10900000	-47.38080000
1.11100000	-46.84910000
1.11300000	-48.72420000
1.11500000	-46.30020000
1.11700000	-48.50390000
1.11900000	-47.94620000
1.12100000	-53.30230000
1.12300000	-42.43570000
1.12500000	-44.35660000
1.12700000	-45.27880000
1.12900000	-46.06220000
1.13100000	-46.83540000
1.13300000	-50.35610000
1.13500000	-50.33100000
1.13700000	-52.27360000
1.13900000	-48.28000000
1.14100000	-42.20670000
1.14300000	-48.93920000
1.14500000	-50.71250000
1.14700000	-47.05390000
1.14900000	-50.31360000
1.15100000	-48.67190000
1.15300000	-50.99990000
1.15500000	-49.58680000
1.15700000	-47.20120000
1.15900000	-46.49170000
1.16100000	-46.85590000
1.16300000	-54.74680000
1.16500000	-51.00850000
1.16700000	-53.75560000
1.16900000	-55.20390000
1.17100000	-52.94050000
1.17300000	-54.04610000
1.17500000	-56.42020000
1.17700000	-54.58680000
1.17900000	-54.63450000
1.18100000	-57.75720000
1.18300000	-51.40150000
1.18500000	-57.86710000
1.18700000	-56.85280000
1.18900000	-57.59120000
1.19100000	-59.66960000
1.19300000	-54.36460000
1.19500000	-51.64860000
1.19700000	-46.35800000
1.19900000	-58.41380000
1.20100000	-57.39760000
1.20300000	-55.00630000
1.20500000	-53.07070000
1.20700000	-48.65520000
1.20900000	-58.08090000
1.21100000	-57.50960000
1.21300000	-48.00460000
1.21500000	-61.40790000
1.21700000	-54.84410000
1.21900000	-53.93550000
1.22100000	-55.59750000
1.22300000	-55.24960000
1.22500000	-53.64700000
1.22700000	-51.83630000
1.22900000	-55.82590000
1.23100000	-60.23080000
1.23300000	-58.29320000
1.23500000	-55.40870000
1.23700000	-57.28520000
1.23900000	-57.96690000
1.24100000	-64.14160000
1.24300000	-62.64070000
1.24500000	-67.45300000
1.24700000	-63.03780000
1.24900000	-57.80430000
1.25100000	-64.27740000
1.25300000	-61.78110000
1.25500000	-59.05350000
1.25700000	-63.85650000
1.25900000	-61.96810000
1.26100000	-61.70710000
1.26300000	-61.72360000
1.26500000	-60.88830000
1.26700000	-66.20490000
1.26900000	-58.24260000
1.27100000	-65.84260000
1.27300000	-63.89410000
1.27500000	-59.84490000
1.27700000	-65.04510000
1.27900000	-65.26100000
1.28100000	-61.22150000
1.28300000	-53.44060000
1.28500000	-56.03220000
1.28700000	-59.90860000
1.28900000	-65.80770000
1.29100000	-58.21060000
1.29300000	-55.35220000
1.29500000	-58.66290000
1.29700000	-65.53770000
1.29900000	-63.01430000
1.30100000	-60.01970000
1.30300000	-65.11140000
1.30500000	-55.09540000
1.30700000	-55.64720000
1.30900000	-54.51280000
1.31100000	-63.83890000
1.31300000	-66.05200000
1.31500000	-67.46930000
1.31700000	-62.15220000
1.31900000	-58.55660000
1.32100000	-66.27140000
