Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
0.50000000,0.0005,Etot_1,0.24499104100453264,0.10370856033034137,0.8980026671090164,0.0,0.0008488327190797507,0.806408790134907,7.875569220276886,1.001,101.0,1.001,101.0
0.50000000,0.001,Etot_1,0.6886424168817858,-7.5329520273457575,0.9743152071505323,0.0,0.0011255046289175533,0.9492901228847848,20.4034526684587,1.001,101.0,1.001,101.0
0.50000000,0.002,Etot_1,3.40125129383375,-10.163288718580503,0.9989391184146469,0.0,0.001108765378704738,0.997879362299032,98.28994136991683,1.001,101.0,1.001,101.0
0.50000000,0.0025,Etot_1,4.912946941954327,6.375630950742277,0.9995574293786005,0.0,0.0010339493680872362,0.9991150546259558,141.88735697104687,1.001,101.0,1.001,101.0
0.50000000,0.00333333,Etot_1,8.62431213014793,1.8811738091728216,0.9995363876049095,0.0,0.0018576964462729975,0.9990729901462718,249.07767266407194,1.001,100.9999,1.001,100.9999
0.50000000,0.004,Etot_1,13.446055937921084,44.05459299993163,0.9994331263646626,0.0,0.003202907987932168,0.9988665740750438,388.37435946470436,1.001,101.0,1.001,101.0
