Lambda,dt,Energy Component,Slope,Intercept,R-value,P-value,Std Err,R-squared,Standard Deviation,Start Time,End Time,Min Time,Max Time
1.00000000,0.0005,Etot_1,0.16178933762725342,0.3072994950165153,0.8585351800880335,0.0,0.0006832948346834185,0.7370826554487921,5.440028532364079,1.001,101.0,1.001,101.0
1.00000000,0.001,Etot_1,0.623808693637727,1.2628028425163862,0.9830660624348084,0.0,0.0008222862071795988,0.9664188831110787,18.318001734916937,1.001,101.0,1.001,101.0
1.00000000,0.002,Etot_1,2.732671757879824,-6.0663703892342085,0.9985384083963339,0.0,0.0010459205142151946,0.9970789530426837,79.00090571280548,1.001,101.0,1.001,101.0
1.00000000,0.0025,Etot_1,4.491819357151509,8.059335004308764,0.9990528753917196,0.0,0.0013834269358331478,0.9981066478284628,129.79058344354772,1.001,101.0,1.001,101.0
1.00000000,0.00333333,Etot_1,9.989771083607868,-14.721361006777727,0.999489596168526,0.0,0.002257878217879083,0.998979452849123,288.52682760805067,1.001,100.9999,1.001,100.9999
1.00000000,0.004,Etot_1,14.501672566008324,-23.26286996757551,0.9992829936970172,0.0,0.003885392872123993,0.9985665014920729,418.9276011915003,1.001,101.0,1.001,101.0
