Lambda,dt=0.5,dt=1,dt=2,dt=2.5,dt=3.3333,dt=4
0.0,$2.2 \times 10^{0}$,$2.0 \times 10^{1}$,$3.2 \times 10^{0}$,$4.9 \times 10^{0}$,$9.7 \times 10^{0}$,$1.4 \times 10^{1}$
0.25,$1.2 \times 10^{-1}$,$1.0 \times 10^{0}$,$2.7 \times 10^{0}$,$5.4 \times 10^{0}$,$8.8 \times 10^{0}$,$1.4 \times 10^{1}$
0.5,$2.1 \times 10^{-1}$,$6.7 \times 10^{-1}$,$3.3 \times 10^{0}$,$6.0 \times 10^{0}$,$1.3 \times 10^{1}$,$2.2 \times 10^{1}$
0.75,$7.1 \times 10^{-2}$,$6.2 \times 10^{-1}$,$2.8 \times 10^{0}$,$5.0 \times 10^{0}$,$9.5 \times 10^{0}$,$1.4 \times 10^{1}$
1.0,$5.8 \times 10^{2}$,$2.2 \times 10^{4}$,$3.8 \times 10^{0}$,$4.3 \times 10^{0}$,$1.1 \times 10^{1}$,$9.7 \times 10^{3}$
