#Time	Etot_1
1.00100000	0.00000000
1.00300000	0.04940000
1.00500000	-5.29850000
1.00700000	-4.29750000
1.00900000	1.74340000
1.01100000	-1.01050000
1.01300000	-4.31660000
1.01500000	-0.09260000
1.01700000	0.02150000
1.01900000	-1.95960000
1.02100000	0.97380000
1.02300000	-0.53390000
1.02500000	-3.72340000
1.02700000	-2.94860000
1.02900000	-0.44990000
1.03100000	-4.19750000
1.03300000	0.11320000
1.03500000	-2.34230000
1.03700000	-3.80630000
1.03900000	1.44030000
1.04100000	0.72990000
1.04300000	-1.40760000
1.04500000	1.33940000
1.04700000	-0.25550000
1.04900000	1.78880000
1.05100000	0.94540000
1.05300000	-1.91010000
1.05500000	-3.87810000
1.05700000	-5.91670000
1.05900000	-2.49540000
1.06100000	-1.30580000
1.06300000	-1.41540000
1.06500000	-2.04850000
1.06700000	-0.10800000
1.06900000	2.63540000
1.07100000	1.45270000
1.07300000	3.85810000
1.07500000	-2.29190000
1.07700000	-0.53370000
1.07900000	-2.02190000
1.08100000	2.15140000
1.08300000	-0.84310000
1.08500000	1.99610000
1.08700000	1.65090000
1.08900000	2.40880000
1.09100000	2.05710000
1.09300000	-0.02800000
1.09500000	0.13210000
1.09700000	-1.61200000
1.09900000	-1.59790000
1.10100000	2.84720000
1.10300000	-3.76520000
1.10500000	-0.26980000
1.10700000	0.87070000
1.10900000	2.05890000
1.11100000	0.33780000
1.11300000	-0.53460000
1.11500000	4.68190000
1.11700000	2.31790000
1.11900000	0.47860000
1.12100000	-1.65700000
1.12300000	0.75260000
1.12500000	0.51860000
1.12700000	-1.78290000
1.12900000	3.94780000
1.13100000	-2.06550000
1.13300000	4.65350000
1.13500000	-0.63410000
1.13700000	-0.17530000
1.13900000	-2.29760000
1.14100000	-0.86620000
1.14300000	0.51950000
1.14500000	2.25550000
1.14700000	5.29010000
1.14900000	2.76860000
1.15100000	4.36210000
1.15300000	5.14070000
1.15500000	-0.85480000
1.15700000	1.31150000
1.15900000	-0.10620000
1.16100000	-0.05420000
1.16300000	6.55650000
1.16500000	4.33440000
1.16700000	3.21610000
1.16900000	4.01620000
1.17100000	4.27780000
1.17300000	1.51720000
1.17500000	2.80750000
1.17700000	0.69400000
1.17900000	2.28650000
1.18100000	1.77390000
1.18300000	2.83540000
1.18500000	2.64720000
1.18700000	-1.98130000
1.18900000	4.94220000
1.19100000	5.94440000
1.19300000	-0.48560000
1.19500000	5.56480000
1.19700000	4.11090000
1.19900000	1.94870000
1.20100000	5.17200000
1.20300000	2.79910000
1.20500000	2.15460000
1.20700000	4.95420000
1.20900000	5.16890000
1.21100000	7.01920000
1.21300000	2.37140000
1.21500000	3.32640000
1.21700000	1.47930000
1.21900000	6.21760000
1.22100000	4.78930000
1.22300000	2.79860000
1.22500000	-1.96120000
1.22700000	1.70700000
1.22900000	4.20040000
1.23100000	4.44590000
1.23300000	0.53150000
1.23500000	4.83350000
1.23700000	1.96230000
1.23900000	3.32660000
1.24100000	3.48390000
1.24300000	0.81050000
1.24500000	4.96180000
1.24700000	3.59590000
1.24900000	1.67370000
1.25100000	1.77650000
1.25300000	6.15730000
1.25500000	3.77020000
1.25700000	3.43890000
1.25900000	3.94890000
1.26100000	4.03140000
1.26300000	5.63420000
1.26500000	3.49520000
1.26700000	1.13350000
1.26900000	4.00680000
1.27100000	3.35840000
1.27300000	2.30660000
1.27500000	5.12320000
1.27700000	3.46650000
1.27900000	2.29180000
1.28100000	2.10570000
1.28300000	3.98100000
1.28500000	5.28670000
1.28700000	0.03510000
1.28900000	2.97030000
1.29100000	4.35140000
1.29300000	4.75120000
1.29500000	2.73750000
1.29700000	0.71100000
1.29900000	4.92860000
1.30100000	2.81080000
1.30300000	3.40430000
1.30500000	4.12650000
1.30700000	-0.49600000
1.30900000	3.00440000
1.31100000	-0.43610000
1.31300000	5.58770000
1.31500000	0.65970000
1.31700000	5.58270000
1.31900000	2.44180000
1.32100000	1.62800000
1.32300000	1.72090000
1.32500000	0.59600000
1.32700000	8.18570000
1.32900000	2.90690000
1.33100000	0.53000000
1.33300000	3.60840000
1.33500000	3.07570000
1.33700000	2.45500000
1.33900000	4.06410000
1.34100000	-1.07930000
1.34300000	1.26920000
1.34500000	7.88620000
1.34700000	7.10880000
1.34900000	3.51500000
1.35100000	0.19640000
1.35300000	0.37020000
1.35500000	-0.73550000
1.35700000	-0.25520000
1.35900000	0.77840000
1.36100000	6.62900000
1.36300000	5.04920000
1.36500000	1.58430000
1.36700000	0.03590000
1.36900000	-0.16510000
1.37100000	2.16330000
1.37300000	2.91190000
1.37500000	2.10630000
1.37700000	1.96130000
1.37900000	4.38320000
1.38100000	1.19610000
1.38300000	0.34630000
1.38500000	2.39390000
1.38700000	1.98750000
1.38900000	5.11020000
1.39100000	1.41800000
1.39300000	4.74640000
1.39500000	5.10600000
1.39700000	2.47620000
1.39900000	6.10460000
1.40100000	6.99940000
1.40300000	4.83060000
1.40500000	2.87910000
1.40700000	3.07370000
1.40900000	7.38650000
1.41100000	3.41030000
1.41300000	2.62610000
1.41500000	4.97580000
1.41700000	5.95880000
1.41900000	3.02080000
1.42100000	3.82350000
1.42300000	4.47180000
1.42500000	3.71400000
1.42700000	4.14830000
1.42900000	0.19930000
1.43100000	7.14000000
1.43300000	3.98980000
1.43500000	3.79720000
1.43700000	5.57750000
1.43900000	2.11070000
1.44100000	8.82810000
1.44300000	2.12970000
1.44500000	3.57140000
1.44700000	5.98370000
1.44900000	9.18620000
1.45100000	3.01720000
1.45300000	4.60600000
1.45500000	5.38400000
1.45700000	5.20200000
1.45900000	4.94100000
1.46100000	3.04760000
1.46300000	6.02920000
1.46500000	3.55050000
1.46700000	3.96660000
1.46900000	2.80630000
1.47100000	3.33570000
1.47300000	3.33820000
1.47500000	1.24010000
1.47700000	2.01160000
1.47900000	7.09010000
1.48100000	5.31480000
1.48300000	3.65020000
1.48500000	0.67370000
1.48700000	3.37720000
1.48900000	6.83210000
1.49100000	3.51070000
1.49300000	5.80200000
1.49500000	3.31010000
1.49700000	4.97920000
1.49900000	9.75840000
1.50100000	5.11220000
1.50300000	4.70370000
1.50500000	6.57110000
1.50700000	5.28950000
1.50900000	5.78500000
1.51100000	5.30080000
1.51300000	6.28270000
1.51500000	4.30990000
1.51700000	6.20020000
1.51900000	7.32620000
1.52100000	3.66330000
1.52300000	5.39940000
1.52500000	6.23740000
1.52700000	2.43670000
1.52900000	5.04320000
1.53100000	3.42060000
1.53300000	6.09090000
1.53500000	3.41500000
1.53700000	-1.14420000
1.53900000	5.74740000
1.54100000	6.49880000
1.54300000	7.15770000
1.54500000	7.94500000
1.54700000	6.09610000
1.54900000	3.32060000
1.55100000	5.53550000
1.55300000	3.76210000
1.55500000	5.99770000
1.55700000	8.88600000
1.55900000	2.13190000
1.56100000	3.11560000
1.56300000	5.46350000
1.56500000	1.36580000
1.56700000	2.68830000
1.56900000	4.16540000
1.57100000	5.99660000
1.57300000	2.06250000
1.57500000	-0.14870000
1.57700000	1.06280000
1.57900000	5.30740000
1.58100000	2.55860000
1.58300000	5.62190000
1.58500000	2.37850000
1.58700000	4.36670000
1.58900000	7.81260000
1.59100000	2.51480000
1.59300000	3.00530000
1.59500000	2.64290000
1.59700000	6.13100000
1.59900000	4.51850000
1.60100000	4.39020000
1.60300000	7.19040000
1.60500000	3.56810000
1.60700000	2.82400000
1.60900000	4.48010000
1.61100000	2.25870000
1.61300000	4.22460000
1.61500000	4.03620000
1.61700000	5.92410000
1.61900000	6.10950000
1.62100000	8.06200000
1.62300000	1.86940000
1.62500000	1.65440000
1.62700000	5.37360000
1.62900000	1.94630000
1.63100000	5.41960000
1.63300000	3.21510000
1.63500000	8.43070000
1.63700000	4.94640000
1.63900000	1.85120000
1.64100000	2.21340000
1.64300000	6.01220000
1.64500000	6.58480000
1.64700000	1.42390000
1.64900000	-0.98980000
1.65100000	1.61680000
1.65300000	8.13630000
1.65500000	2.24300000
1.65700000	3.82890000
1.65900000	1.63010000
1.66100000	1.95400000
1.66300000	2.49350000
1.66500000	-0.00930000
1.66700000	5.30730000
1.66900000	6.60770000
1.67100000	5.54860000
1.67300000	2.41890000
1.67500000	3.87670000
1.67700000	7.20560000
1.67900000	7.32350000
1.68100000	3.13170000
1.68300000	3.66450000
1.68500000	3.36580000
1.68700000	1.00030000
1.68900000	6.75620000
1.69100000	1.66110000
1.69300000	4.61170000
1.69500000	-0.87250000
1.69700000	6.49990000
1.69900000	6.10330000
1.70100000	7.06950000
1.70300000	2.09740000
1.70500000	3.50290000
1.70700000	0.96580000
1.70900000	5.30900000
1.71100000	6.48790000
1.71300000	4.21790000
1.71500000	6.26460000
1.71700000	5.43460000
1.71900000	2.54110000
1.72100000	2.12190000
1.72300000	1.76520000
1.72500000	2.52650000
1.72700000	3.76550000
1.72900000	4.41810000
1.73100000	5.20520000
1.73300000	4.54730000
1.73500000	5.82650000
1.73700000	6.91970000
1.73900000	5.59180000
1.74100000	3.48790000
1.74300000	1.83930000
1.74500000	4.06190000
1.74700000	3.80860000
1.74900000	3.64710000
1.75100000	4.58550000
1.75300000	0.43840000
1.75500000	5.56430000
1.75700000	2.96700000
1.75900000	1.81190000
1.76100000	3.00780000
1.76300000	3.47070000
1.76500000	5.04230000
1.76700000	4.29870000
1.76900000	1.85470000
1.77100000	0.59320000
1.77300000	1.19500000
1.77500000	3.11040000
1.77700000	6.90770000
1.77900000	8.50760000
1.78100000	2.12240000
1.78300000	3.07280000
1.78500000	4.44840000
1.78700000	2.68780000
1.78900000	2.20960000
1.79100000	7.64190000
1.79300000	1.36370000
1.79500000	4.21810000
1.79700000	3.16380000
1.79900000	3.58570000
1.80100000	1.04190000
1.80300000	2.96810000
1.80500000	2.58510000
1.80700000	6.80840000
1.80900000	5.85470000
1.81100000	2.92910000
1.81300000	4.37380000
1.81500000	3.01920000
1.81700000	2.51920000
1.81900000	6.94440000
1.82100000	4.05610000
1.82300000	4.03760000
1.82500000	5.75010000
1.82700000	2.26600000
1.82900000	2.80720000
1.83100000	3.84360000
1.83300000	5.67970000
1.83500000	1.92100000
1.83700000	5.93110000
1.83900000	5.79380000
1.84100000	5.64230000
1.84300000	2.23700000
1.84500000	6.44680000
1.84700000	3.37520000
1.84900000	4.19080000
1.85100000	5.27620000
1.85300000	2.99530000
1.85500000	5.58210000
1.85700000	4.59610000
1.85900000	4.00640000
1.86100000	7.01970000
1.86300000	6.80140000
1.86500000	12.88820000
1.86700000	2.41530000
1.86900000	6.55990000
1.87100000	9.69510000
1.87300000	6.74860000
